타임스탬프,0. 당신의 성함,0. 당신의 이상형,0.1. 나의 동물상,1-1. 희망하는 자녀 수,1-2. 희망하는 자녀 구성,1-3. 자녀 갖고 싶은 시기,1-4. 생물학적 출산이 어려움 발생 시 대안,"""1. 자녀 계획 및 가족 구성 항목""에 대해 중요도 ","아이가 ""오늘만 양치 안하고 그냥 자면 안돼요? 라고 칭얼거릴 때 어떻게 하시겠습니까?  ",평소 밤 9시에 자기로 약속했습니다. 그런데 오늘 아이가 읽고 싶어 하던 동화책 시리즈의 마지막 권을 다 읽고 싶다며 30분만 더 시간을 달라고 합니다.,"경쟁 상황에서의 태도 아이가 운동 경기나 대회에서 아쉽게 2등을 했습니다. 아이는 충분히 잘했다고 기뻐하는데, 당신의 마음속 생각은?","재능 발견과 교육 아이가 특정 분야(예: 피아노, 운동)에 천재적인 재능을 보입니다. 이때 당신의 교육 방향은?","두 사람의 훈육 방식이 부딪힐 때, 누구의 의견을 따라야 한다고 생각하시나요?","한 명은 퇴근 후 아이와 놀아주고, 한 명은 밀린 집안일을 해야 하는 상황입니다.",맞벌이 상황 등에서 조부모님이 아이를 봐주겠다고 제안하신다면?,"양가 어르신들이 본인의 가치관과 다른 육아 조언(예: ""애를 너무 손타게 키운다"", ""사탕 좀 주면 어떠냐"")을 하실 때 당신의 생각은?","주말에 아이와 동물원에 가기로 했는데, 아침에 일어나니 갑자기 비가 옵니다. 이때 당신의 반응은?",아이의 교육 자금이나 미래 리스크를 대비하는 당신의 생각은?,4-1. 자녀 교육비/양육비 지출 비중,"4-2. 육아 휴직, 양육 부담","""4. 경제적 지원 및 가사 분담""에 대해 중요도 ","5-1. 자녀 가치관, 어떤 사람이 되길 바라는가? ","""5. 자녀 가치관""에 대해 중요도 ",Unnamed: 23
2026/02/24 1:19:20 PM GMT+9,황성서,알파카상,너구리상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,무자녀,2,3,3,5,4,5,4,4,1,4,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",1,"자신이 좋아하는 일, 행복",1,
2026/02/28 8:38:16 PM GMT+9,허율나,여우상,여우상,1명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀,4,1,5,3,2,3,5,1,1,5,3,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",4,
2026/03/04 2:43:06 AM GMT+9,고담빈,여우상,늑대상,1명,오직 딸,경제적 안정 후,의학적 도움 적극 시도,4,1,5,4,2,3,4,1,1,4,3,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",4,
2026/03/04 10:41:59 PM GMT+9,하윤현,고양이상,알파카상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,무자녀,2,3,4,5,4,1,1,4,3,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자녀의 입에서 나는 엄마, 아빠처럼 살래요 라는 말과 목표가 나오도록 / 가장 존경하는 사람이 누구인가 라고 자녀에게 누군가 물어보면, 우리 엄마 아빠요 라고 대답할 수 있는 사람이 되었으면 좋겠습니다",3,
2026/03/07 8:29:14 AM GMT+9,홍주준,고양이상,늑대상,2명,오직 딸,결혼 후 3~5년 이내,무자녀,2,4,4,3,2,4,1,2,2,4,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",3,
2026/02/21 8:54:49 AM GMT+9,임성성,말상,말상,3명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려,2,1,4,5,4,3,5,4,2,2,4,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"도덕적, 타인 배려",5,
2026/03/08 1:23:19 AM GMT+9,황호하,곰상,여우상,2명,되는대로,결혼 후 1~2년 이내,입양 고려;의학적 도움 적극 시도,1,5,5,5,3,5,2,3,1,5,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",4,
2026/03/03 4:33:48 PM GMT+9,조온담,고양이상,강아지상,3명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀,1,3,4,5,4,3,5,4,2,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",3,"도덕적, 타인 배려",2,
2026/03/04 11:34:05 AM GMT+9,양예윤,여우상,토끼상,2명,오직 딸,결혼 후 1~2년 이내,입양 고려,1,1,3,4,2,3,5,2,3,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"도덕적, 타인 배려",5,
2026/03/03 9:40:30 PM GMT+9,백혜빈,곰상,고양이상,1명,오직 딸,결혼 후 1~2년 이내,무자녀;입양 고려,4,1,5,5,4,4,5,5,2,4,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",2,
2026/03/06 12:55:59 AM GMT+9,강별연,고양이상,고양이상,3명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,의학적 도움 적극 시도;입양 고려;무자녀,2,3,4,4,2,5,4,3,1,2,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",1,"자신이 좋아하는 일, 행복",1,
2026/03/01 5:32:05 PM GMT+9,노우찬,오리상,사슴상,2명,오직 딸,경제적 안정 후,입양 고려;무자녀,2,1,5,3,3,4,1,3,3,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"자신이 좋아하는 일, 행복",4,
2026/02/28 11:33:05 PM GMT+9,최린윤,강아지상,강아지상,2명,딸2 아들1,결혼 후 1~2년 이내,의학적 도움 적극 시도,2,1,5,4,5,4,3,5,3,5,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",4,
2026/03/07 2:34:24 AM GMT+9,허하예,쥐상,말상,1명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려;의학적 도움 적극 시도,2,1,2,5,4,4,5,5,2,5,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",2,
2026/02/28 6:31:32 AM GMT+9,노서혜,강아지상,강아지상,3명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀,1,2,5,5,4,5,5,5,2,4,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",1,
2026/03/08 6:41:50 PM GMT+9,양영빈,여우상,햄스터상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,2,3,4,5,2,5,5,4,2,5,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",2,
2026/02/27 8:15:26 PM GMT+9,황솔솔,고양이상,강아지상,3명,딸2 아들1,결혼 후 1~2년 이내,입양 고려,1,3,5,5,4,4,5,4,2,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",2,
2026/03/04 1:13:04 PM GMT+9,배태윤,알파카상,사슴상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,3,2,5,5,2,3,2,5,3,5,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,"자신이 좋아하는 일, 행복",5,
2026/02/24 12:40:12 AM GMT+9,허별림,곰상,쥐상,2명,되는대로,결혼 후 1~2년 이내,무자녀;의학적 도움 적극 시도,1,3,4,5,4,3,5,3,3,5,4,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",2,
2026/03/01 8:48:33 AM GMT+9,황연혜,고양이상,쥐상,2명,오직 딸,결혼 후 3~5년 이내,의학적 도움 적극 시도;무자녀,4,1,5,5,2,4,5,3,3,1,4,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"자신이 좋아하는 일, 행복",2,
2026/03/07 8:02:18 PM GMT+9,한찬도,곰상,곰상,2명,"딸 1명, 아들 1명",경제적 안정 후,입양 고려;무자녀,4,2,5,4,4,1,2,5,4,4,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",3,"도덕적, 타인 배려",2,
2026/02/27 12:13:12 AM GMT+9,강준수,쥐상,쥐상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려,2,3,4,5,5,1,1,4,2,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자녀의 입에서 나는 엄마, 아빠처럼 살래요 라는 말과 목표가 나오도록 / 가장 존경하는 사람이 누구인가 라고 자녀에게 누군가 물어보면, 우리 엄마 아빠요 라고 대답할 수 있는 사람이 되었으면 좋겠습니다",3,
2026/02/23 2:57:23 AM GMT+9,강민하,고양이상,너구리상,1명,오직 딸,결혼 즉시,무자녀,2,1,3,5,4,5,4,2,1,4,5,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,"경제적 성공, 사회적 지위",3,
2026/03/02 8:56:12 AM GMT+9,허솔수,고양이상,쿼카상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,2,1,5,5,2,4,5,4,3,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",3,"도덕적, 타인 배려",3,
2026/02/26 7:05:51 AM GMT+9,임현민,말상,말상,1명,오직 딸,경제적 안정 후,입양 고려,3,2,4,5,4,2,1,3,2,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",2,
2026/02/21 1:37:38 PM GMT+9,노진지,여우상,강아지상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려;의학적 도움 적극 시도,2,3,5,4,5,3,3,4,1,5,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",2,
2026/02/25 7:26:28 PM GMT+9,장림라,고양이상,고양이상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀,2,4,4,5,2,1,5,4,4,5,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",4,
2026/03/01 11:39:40 AM GMT+9,문수지,곰상,늑대상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀,2,2,4,5,4,1,1,4,2,4,4,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자녀의 입에서 나는 엄마, 아빠처럼 살래요 라는 말과 목표가 나오도록 / 가장 존경하는 사람이 누구인가 라고 자녀에게 누군가 물어보면, 우리 엄마 아빠요 라고 대답할 수 있는 사람이 되었으면 좋겠습니다",3,
2026/02/20 11:31:39 AM GMT+9,한빈혜,강아지상,쿼카상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도,1,1,5,5,2,3,3,5,3,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",2,
2026/03/08 9:27:30 AM GMT+9,조지수,고양이상,쿼카상,1명,오직 딸,결혼 후 1~2년 이내,무자녀,2,1,2,5,4,2,5,4,3,5,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",1,
2026/02/20 5:48:36 PM GMT+9,박민경,곰상,곰상,2명,오직 딸,결혼 후 1~2년 이내,무자녀,2,1,5,5,3,4,5,4,2,5,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",3,"도덕적, 타인 배려",5,
2026/03/02 7:14:38 PM GMT+9,한윤솔,여우상,햄스터상,1명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도;입양 고려,3,1,5,4,4,5,2,4,3,4,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"자신이 좋아하는 일, 행복",2,
2026/03/06 3:57:11 PM GMT+9,조나림,곰상,곰상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀,2,1,4,5,2,4,5,4,1,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",3,"도덕적, 타인 배려",4,
2026/03/08 11:54:11 AM GMT+9,정림은,곰상,고양이상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,의학적 도움 적극 시도;무자녀,3,3,4,5,5,4,4,5,2,1,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",1,
2026/03/07 3:57:31 AM GMT+9,정호주,고양이상,고양이상,1명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려;무자녀,2,1,4,4,2,5,1,2,2,2,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",3,
2026/03/04 8:52:10 PM GMT+9,한담준,강아지상,알파카상,2명,"딸 1명, 아들 1명",결혼 즉시,입양 고려,4,1,4,5,3,5,4,4,4,4,4,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"도덕적, 타인 배려",3,
2026/02/25 6:09:17 PM GMT+9,하성림,도룡뇽상,쿼카상,2명,오직 딸,결혼 후 3~5년 이내,의학적 도움 적극 시도,2,2,5,5,4,1,1,4,2,4,4,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자녀의 입에서 나는 엄마, 아빠처럼 살래요 라는 말과 목표가 나오도록 / 가장 존경하는 사람이 누구인가 라고 자녀에게 누군가 물어보면, 우리 엄마 아빠요 라고 대답할 수 있는 사람이 되었으면 좋겠습니다",3,
2026/03/06 7:03:34 AM GMT+9,박윤혜,곰상,사슴상,2명,"딸 1명, 아들 1명",결혼 즉시,입양 고려,5,1,4,5,4,4,2,2,3,5,4,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",1,"자신이 좋아하는 일, 행복",4,
2026/02/22 3:01:48 PM GMT+9,한율훈,고양이상,햄스터상,3명,오직 딸,결혼 후 3~5년 이내,의학적 도움 적극 시도;입양 고려,2,4,5,5,4,4,5,4,2,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"회복탄력성, 생활력 강한 사람",4,
2026/02/27 2:24:46 PM GMT+9,문담빈,고양이상,여우상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려,2,5,4,4,5,4,1,4,2,2,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",3,
2026/03/05 9:11:54 AM GMT+9,전윤예,늑대상,늑대상,1명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,의학적 도움 적극 시도;입양 고려,4,1,5,4,4,2,5,1,1,5,4,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"도덕적, 타인 배려",4,
2026/03/01 7:43:26 AM GMT+9,황빈찬,꽃돼지상,꼬부기상,1명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도,3,2,4,4,4,2,1,4,2,4,4,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",2,
2026/03/06 10:16:04 AM GMT+9,신별호,햄스터상,꽃돼지상,1명,오직 딸,경제적 안정 후,의학적 도움 적극 시도,4,2,5,5,2,4,2,3,2,2,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,"도덕적, 타인 배려",5,
2026/02/24 10:52:07 AM GMT+9,임하지,공룡상,꽃돼지상,그 이상,되는대로,경제적 안정 후,입양 고려,1,2,5,5,3,4,3,3,3,5,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"도덕적, 타인 배려",1,
2026/02/22 10:22:29 AM GMT+9,강현영,오리상,쥐상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀,2,1,4,4,2,4,1,5,2,5,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",3,
2026/03/05 3:43:06 AM GMT+9,임준훈,강아지상,도룡뇽상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,4,1,4,3,2,4,1,4,2,4,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",4,"도덕적, 타인 배려",4,
2026/03/01 12:00:47 AM GMT+9,장하우,공룡상,토끼상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도,2,4,5,5,4,4,4,1,1,1,5,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,"도덕적, 타인 배려",3,
2026/02/27 2:24:31 PM GMT+9,전혜찬,강아지상,햄스터상,그 이상,"딸 1명, 아들 1명",경제적 안정 후,의학적 도움 적극 시도,1,1,4,5,2,5,3,3,2,4,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,"자신이 좋아하는 일, 행복",1,
2026/02/23 1:27:59 PM GMT+9,황율린,오리상,토끼상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,무자녀,3,2,5,5,2,3,2,5,2,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",5,"자신이 좋아하는 일, 행복",3,
2026/03/01 10:03:29 AM GMT+9,백영빈,여우상,말상,3명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀,2,3,4,5,5,4,3,3,2,5,1,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",3,
2026/03/06 8:40:26 AM GMT+9,신율지,여우상,여우상,3명,아들1 딸2,결혼 후 1~2년 이내,의학적 도움 적극 시도,4,3,5,5,5,4,5,4,3,5,1,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",3,
2026/03/07 7:40:27 PM GMT+9,양연윤,고양이상,사슴상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,3,1,5,5,2,3,2,4,2,5,4,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",3,"자신이 좋아하는 일, 행복",5,
2026/03/05 3:50:19 PM GMT+9,서아우,쿼카상,쿼카상,1명,오직 딸,결혼 즉시,무자녀,5,2,3,5,4,2,4,4,4,5,4,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",3,
2026/03/06 10:33:54 PM GMT+9,최지주,고양이상,공룡상,1명,"딸 1명, 아들 1명",경제적 안정 후,의학적 도움 적극 시도,4,2,4,3,1,5,2,4,2,1,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",2,
2026/02/24 2:30:04 PM GMT+9,손진솔,여우상,여우상,1명,오직 딸,결혼 즉시,의학적 도움 적극 시도,2,1,4,4,5,2,1,3,2,2,4,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",1,
2026/03/05 3:14:59 AM GMT+9,심윤찬,고양이상,곰상,2명,오직 딸,경제적 안정 후,입양 고려,4,1,5,3,3,4,1,3,3,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"자신이 좋아하는 일, 행복",4,
2026/03/07 3:07:50 PM GMT+9,남은찬,사슴상,쥐상,1명,오직 딸,경제적 안정 후,의학적 도움 적극 시도,2,2,5,4,4,2,5,3,2,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",5,https://drive.google.com/u/0/open?usp=forms_web&id=1vIzRJ4Im86hUXmTW1R7XuSG_LbEnWW9J
2026/03/01 7:58:39 AM GMT+9,허찬진,꼬부기상,토끼상,3명,"딸 1명, 아들 1명",경제적 안정 후,무자녀,4,2,5,4,4,4,2,5,2,2,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",5,
2026/03/08 7:30:04 AM GMT+9,김연주,여우상,강아지상,그 이상,"딸 2명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,1,5,5,5,5,4,5,5,1,5,3,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",3,
2026/03/07 1:26:32 PM GMT+9,백수솔,오리상,사슴상,1명,오직 딸,결혼 후 1~2년 이내,입양 고려,1,1,4,4,4,5,2,3,2,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",2,
2026/02/24 6:26:41 AM GMT+9,고하지,곰상,곰상,2명,오직 딸,결혼 후 1~2년 이내,입양 고려,2,1,5,3,2,1,5,4,1,1,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,"도덕적, 타인 배려",4,
2026/03/07 1:52:47 PM GMT+9,장별담,오리상,코알라상,1명,오직 딸,경제적 안정 후,무자녀,2,1,5,4,4,4,5,4,3,4,1,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",5,
2026/02/27 4:38:33 AM GMT+9,하나경,여우상,사슴상,2명,"딸 1명, 아들 1명",결혼 즉시,의학적 도움 적극 시도,5,2,4,5,5,4,4,2,3,5,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",4,
2026/03/08 1:11:04 PM GMT+9,오예지,여우상,코알라상,2명,오직 딸,경제적 안정 후,의학적 도움 적극 시도;입양 고려,4,2,4,3,1,5,5,4,4,5,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"자신이 좋아하는 일, 행복",2,
2026/02/28 2:44:24 PM GMT+9,김라혜,알파카상,알파카상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,의학적 도움 적극 시도,2,2,5,5,4,4,5,4,2,4,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"자신이 좋아하는 일, 행복",4,
2026/02/25 2:09:07 PM GMT+9,양혜민,여우상,여우상,2명,오직 딸,경제적 안정 후,입양 고려,3,1,5,4,3,2,4,1,1,5,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",2,
2026/02/25 10:59:34 AM GMT+9,조율담,곰상,토끼상,그 이상,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,2,1,4,5,2,4,3,3,2,5,4,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"도덕적, 타인 배려",5,
2026/02/20 1:16:20 PM GMT+9,서태하,코알라상,알파카상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도,2,1,4,4,2,5,4,4,3,1,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"자신이 좋아하는 일, 행복",2,
2026/03/03 2:42:31 AM GMT+9,고담나,오리상,여우상,1명,오직 딸,경제적 안정 후,입양 고려,4,2,4,5,2,4,2,4,3,4,1,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",2,
2026/02/23 12:16:00 PM GMT+9,배겸경,토끼상,너구리상,2명,오직 딸,결혼 후 1~2년 이내,입양 고려;무자녀,2,3,4,4,2,4,4,4,4,4,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",1,
2026/03/04 8:38:48 AM GMT+9,허지호,강아지상,코알라상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려;의학적 도움 적극 시도,4,1,5,5,4,3,5,3,4,2,4,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",3,"회복탄력성, 생활력 강한 사람",2,
2026/03/02 11:03:16 PM GMT+9,전온호,곰상,곰상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀,2,4,4,4,2,4,4,5,4,4,3,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",3,
2026/02/22 6:37:02 AM GMT+9,박림혜,늑대상,늑대상,1명,"딸 1명, 아들 1명",경제적 안정 후,의학적 도움 적극 시도,4,1,5,5,2,3,4,4,2,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"회복탄력성, 생활력 강한 사람",2,
2026/02/21 2:34:54 PM GMT+9,이예우,강아지상,여우상,2명,오직 딸,경제적 안정 후,의학적 도움 적극 시도,5,2,5,4,3,4,2,4,3,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",4,
2026/03/07 9:55:55 AM GMT+9,노예호,오리상,고양이상,1명,오직 딸,경제적 안정 후,무자녀,1,1,5,4,3,2,4,1,2,2,3,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",4,
2026/03/01 5:31:56 AM GMT+9,권찬성,여우상,너구리상,2명,오직 딸,결혼 후 1~2년 이내,입양 고려,3,2,4,4,4,5,2,4,2,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",4,
2026/03/06 2:46:51 PM GMT+9,남주빈,쿼카상,토끼상,2명,"딸 1명, 아들 1명",경제적 안정 후,입양 고려,2,1,4,4,4,4,3,4,2,2,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",4,"도덕적, 타인 배려",2,
2026/02/23 3:26:34 PM GMT+9,박성주,토끼상,알파카상,2명,오직 딸,결혼 즉시,무자녀,2,1,5,5,4,4,4,2,1,5,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",3,
2026/02/27 4:16:05 AM GMT+9,배주민,여우상,여우상,3명,"딸 2명, 아들 1명",결혼 후 1~2년 이내,무자녀;입양 고려,1,5,5,5,5,5,5,4,3,5,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",1,"자신이 좋아하는 일, 행복",3,
2026/03/04 5:25:51 PM GMT+9,권지성,곰상,꽃돼지상,1명,딸2 아들1,결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀,1,3,5,5,4,4,1,5,4,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",4,
2026/03/08 12:56:10 PM GMT+9,남별윤,강아지상,고양이상,2명,오직 딸,결혼 후 3~5년 이내,의학적 도움 적극 시도,4,2,5,4,4,1,2,1,1,4,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",2,
